time,position,velocity,error
0.1,0.02,0.2,9.98
0.2,0.05936,0.3936,9.94064
0.3,0.11742,0.580605,9.88258
0.4,0.193504,0.760838,9.8065
0.5,0.286919,0.934143,9.71308
0.6,0.396957,1.10038,9.60304
0.7,0.5229,1.25943,9.4771
0.8,0.664019,1.41119,9.33598
0.9,0.819576,1.55557,9.18042
1,0.988827,1.69251,9.01117
1.1,1.17102,1.82196,8.82898
1.2,1.36541,1.94388,8.63459
1.3,1.57124,2.05826,8.42876
1.4,1.78775,2.16509,8.21225
1.5,2.01418,2.26438,7.98582
1.6,2.2498,2.35616,7.7502
1.7,2.49385,2.44048,7.50615
1.8,2.74559,2.51739,7.25441
1.9,3.00428,2.58696,6.99572
2,3.26921,2.64926,6.73079
2.1,3.53965,2.7044,6.46035
2.2,3.8149,2.75248,6.1851
2.3,4.09426,2.7936,5.90574
2.4,4.37705,2.82791,5.62295
2.5,4.6626,2.85553,5.3374
2.6,4.95026,2.87661,5.04974
2.7,5.23939,2.89131,4.76061
2.8,5.52937,2.89978,4.47063
2.9,5.81959,2.9022,4.18041
3,6.10947,2.89874,3.89053
3.1,6.39843,2.88959,3.60157
3.2,6.68592,2.87494,3.31408
3.3,6.97142,2.85497,3.02858
3.4,7.25441,2.82989,2.74559
3.5,7.5344,2.79991,2.4656
3.6,7.81092,2.76522,2.18908
3.7,8.08352,2.72605,1.91648
3.8,8.35178,2.6826,1.64822
3.9,8.61529,2.63508,1.38471
4,8.87366,2.58372,1.12634
4.1,9.12654,2.52874,0.873462
4.2,9.37357,2.47035,0.626427
4.3,9.61445,2.40876,0.385551
4.4,9.84887,2.34421,0.15113
4.5,10.0766,2.27691,-0.076561
4.6,10.2973,2.20707,-0.297268
4.7,10.5108,2.13491,-0.510759
4.8,10.7168,2.06065,-0.716824
4.9,10.9153,1.98449,-0.915274
5,11.1059,1.90665,-1.10594
5.1,11.2887,1.82734,-1.28867
5.2,11.4633,1.74674,-1.46335
5.3,11.6299,1.66507,-1.62985
5.4,11.7881,1.58252,-1.78811
5.5,11.938,1.49929,-1.93803
5.6,12.0796,1.41555,-2.07959
5.7,12.2127,1.33149,-2.21274
5.8,12.3375,1.24729,-2.33747
5.9,12.4538,1.16312,-2.45378
6,12.5617,1.07915,-2.56169
6.1,12.6612,0.995543,-2.66125
6.2,12.7525,0.912452,-2.75249
6.3,12.8355,0.830028,-2.8355
6.4,12.9103,0.748417,-2.91034
6.5,12.9771,0.667758,-2.97711
6.6,13.0359,0.588183,-3.03593
6.7,13.0869,0.509819,-3.08691
6.8,13.1302,0.432786,-3.13019
6.9,13.1659,0.357199,-3.16591
7,13.1942,0.283164,-3.19423
7.1,13.2153,0.210785,-3.21531
7.2,13.2293,0.140155,-3.22932
7.3,13.2365,0.0713642,-3.23646
7.4,13.2369,0.00449405,-3.23691
7.5,13.2309,-0.060379,-3.23087
7.6,13.2186,-0.123185,-3.21855
7.7,13.2002,-0.183861,-3.20017
7.8,13.1759,-0.242348,-3.17593
7.9,13.1461,-0.298596,-3.14607
8,13.1108,-0.35256,-3.11082
8.1,13.0704,-0.404199,-3.0704
8.2,13.025,-0.453481,-3.02505
8.3,12.975,-0.500378,-2.97501
8.4,12.9205,-0.544867,-2.92052
8.5,12.8618,-0.586931,-2.86183
8.6,12.7992,-0.62656,-2.79917
8.7,12.7328,-0.663746,-2.7328
8.8,12.663,-0.69849,-2.66295
8.9,12.5899,-0.730794,-2.58987
9,12.5138,-0.760668,-2.5138
9.1,12.435,-0.788124,-2.43499
9.2,12.3537,-0.81318,-2.35367
9.3,12.2701,-0.835858,-2.27009
9.4,12.1845,-0.856184,-2.18447
9.5,12.0971,-0.874188,-2.09705
9.6,12.0081,-0.889904,-2.00806
9.7,11.9177,-0.903368,-1.91772
9.8,11.8263,-0.914621,-1.82626
9.9,11.7339,-0.923708,-1.73389
10,11.6408,-0.930674,-1.64082
10.1,11.5473,-0.935571,-1.54727
10.2,11.4534,-0.938449,-1.45342
10.3,11.3595,-0.939364,-1.35949
10.4,11.2656,-0.938372,-1.26565
10.5,11.1721,-0.935534,-1.17209
10.6,11.079,-0.93091,-1.079
10.7,10.9865,-0.924563,-0.986547
10.8,10.8949,-0.916557,-0.894892
10.9,10.8042,-0.906958,-0.804196
11,10.7146,-0.895833,-0.714613
11.1,10.6263,-0.883251,-0.626288
11.2,10.5394,-0.869279,-0.53936
11.3,10.454,-0.853988,-0.453961
11.4,10.3702,-0.837447,-0.370216
11.5,10.2882,-0.819728,-0.288243
11.6,10.2082,-0.800901,-0.208153
11.7,10.13,-0.781037,-0.13005
11.8,10.054,-0.760207,-0.0540288
11.9,9.98018,-0.738481,0.0198193
12,9.90859,-0.715931,0.0914124
12.1,9.83933,-0.692624,0.160675
12.2,9.77246,-0.668632,0.227538
12.3,9.70806,-0.644022,0.29194
12.4,9.64617,-0.618863,0.353827
12.5,9.58685,-0.593221,0.413149
12.6,9.53014,-0.567161,0.469865
12.7,9.47606,-0.540749,0.52394
12.8,9.42466,-0.514048,0.575344
12.9,9.37594,-0.487119,0.624056
13,9.32994,-0.460025,0.670059
13.1,9.28666,-0.432823,0.713341
13.2,9.2461,-0.405571,0.753898
13.3,9.20827,-0.378326,0.791731
13.4,9.17316,-0.351142,0.826845
13.5,9.14075,-0.324071,0.859252
13.6,9.11103,-0.297163,0.888968
13.7,9.08398,-0.270469,0.916015
13.8,9.05958,-0.244035,0.940419
13.9,9.03779,-0.217905,0.962209
14,9.01858,-0.192124,0.981422
14.1,9.00191,-0.166732,0.998095
14.2,8.98773,-0.141768,1.01227
14.3,8.976,-0.117269,1.024
14.4,8.96667,-0.0932714,1.03333
14.5,8.95969,-0.0698068,1.04031
14.6,8.955,-0.0469064,1.045
14.7,8.95254,-0.0245993,1.04746
14.8,8.95225,-0.00291219,1.04775
14.9,8.95406,0.0181301,1.04594
15,8.95792,0.0385049,1.04208
15.1,8.96373,0.0581915,1.03627
15.2,8.97145,0.077171,1.02855
15.3,8.98099,0.0954269,1.01901
15.4,8.99229,0.112944,1.00771
15.5,9.00526,0.12971,0.99474
15.6,9.01983,0.145714,0.980169
15.7,9.03593,0.160946,0.964074
15.8,9.05347,0.175399,0.946534
15.9,9.07237,0.189067,0.927628
16,9.09257,0.201948,0.907433
16.1,9.11397,0.214038,0.886029
16.2,9.1365,0.225338,0.863495
16.3,9.16009,0.235847,0.839911
16.4,9.18465,0.24557,0.815354
16.5,9.2101,0.25451,0.789903
16.6,9.23636,0.262673,0.763635
16.7,9.26337,0.270065,0.736629
16.8,9.29104,0.276696,0.708959
16.9,9.3193,0.282574,0.680702
17,9.34807,0.287711,0.651931
17.1,9.37728,0.292118,0.622719
17.2,9.40686,0.295809,0.593138
17.3,9.43674,0.298798,0.563258
17.4,9.46685,0.301099,0.533148
17.5,9.49712,0.302729,0.502875
17.6,9.5275,0.303705,0.472505
17.7,9.5579,0.304044,0.4421
17.8,9.58828,0.303764,0.411724
17.9,9.61856,0.302886,0.381435
18,9.64871,0.301428,0.351293
18.1,9.67865,0.299411,0.321352
18.2,9.70833,0.296856,0.291666
18.3,9.73771,0.293783,0.262288
18.4,9.76673,0.290216,0.233266
18.5,9.79535,0.286174,0.204649
18.6,9.82352,0.281682,0.17648
18.7,9.8512,0.276761,0.148804
18.8,9.87834,0.271435,0.121661
18.9,9.90491,0.265725,0.0950884
19,9.93088,0.259655,0.069123
19.1,9.9562,0.253248,0.0437982
19.2,9.98085,0.246526,0.0191456
19.3,10.0048,0.239513,-0.00480573
19.4,10.028,0.232232,-0.0280289
19.5,10.0505,0.224704,-0.0504993
19.6,10.0722,0.216953,-0.0721946
19.7,10.0931,0.209001,-0.0930947
19.8,10.1132,0.200869,-0.113182
19.9,10.1324,0.192579,-0.132439
20,10.1509,0.184153,-0.150855
20.1,10.1684,0.175611,-0.168416
20.2,10.1851,0.166975,-0.185113
20.3,10.2009,0.158263,-0.20094
20.4,10.2159,0.149496,-0.215889
20.5,10.23,0.140694,-0.229959
20.6,10.2431,0.131874,-0.243146
20.7,10.2555,0.123055,-0.255451
20.8,10.2669,0.114254,-0.266877
20.9,10.2774,0.105489,-0.277426
21,10.2871,0.0967755,-0.287103
21.1,10.2959,0.0881302,-0.295916
21.2,10.3039,0.079568,-0.303873
21.3,10.311,0.0711035,-0.310983
21.4,10.3173,0.0627507,-0.317258
21.5,10.3227,0.054523,-0.322711
21.6,10.3274,0.0464331,-0.327354
21.7,10.3312,0.038493,-0.331203
21.8,10.3343,0.0307142,-0.334275
21.9,10.3366,0.0231073,-0.336586
22,10.3382,0.0156823,-0.338154
22.1,10.339,0.00844878,-0.338999
22.2,10.3391,0.00141534,-0.33914
22.3,10.3386,-0.00540992,-0.338599
22.4,10.3374,-0.0120196,-0.337397
22.5,10.3356,-0.018407,-0.335557
22.6,10.3331,-0.0245659,-0.3331
22.7,10.3301,-0.0304909,-0.330051
22.8,10.3264,-0.0361772,-0.326433
22.9,10.3223,-0.0416205,-0.322271
23,10.3176,-0.0468173,-0.317589
23.1,10.3124,-0.0517646,-0.312413
23.2,10.3068,-0.0564599,-0.306767
23.3,10.3007,-0.0609015,-0.300677
23.4,10.2942,-0.065088,-0.294168
23.5,10.2873,-0.0690187,-0.287266
23.6,10.28,-0.0726934,-0.279997
23.7,10.2724,-0.0761126,-0.272385
23.8,10.2645,-0.0792769,-0.264458
23.9,10.2562,-0.0821878,-0.256239
24,10.2478,-0.0848469,-0.247754
24.1,10.239,-0.0872566,-0.239029
24.2,10.2301,-0.0894195,-0.230087
24.3,10.221,-0.0913386,-0.220953
24.4,10.2117,-0.0930175,-0.211651
24.5,10.2022,-0.09446,-0.202205
24.6,10.1926,-0.0956703,-0.192638
24.7,10.183,-0.096653,-0.182973
24.8,10.1732,-0.0974128,-0.173231
24.9,10.1634,-0.0979551,-0.163436
25,10.1536,-0.0982851,-0.153607
25.1,10.1438,-0.0984087,-0.143767
25.2,10.1339,-0.0983318,-0.133933
25.3,10.1241,-0.0980605,-0.124127
25.4,10.1144,-0.0976012,-0.114367
25.5,10.1047,-0.0969606,-0.104671
25.6,10.0951,-0.0961452,-0.0950567
25.7,10.0855,-0.0951619,-0.0855405
25.8,10.0761,-0.0940179,-0.0761387
25.9,10.0669,-0.0927201,-0.0668667
26,10.0577,-0.0912759,-0.0577391
26.1,10.0488,-0.0896924,-0.0487698
26.2,10.04,-0.087977,-0.0399721
26.3,10.0314,-0.0861371,-0.0313584
26.4,10.0229,-0.0841802,-0.0229404
26.5,10.0147,-0.0821136,-0.0147291
26.6,10.0067,-0.0799448,-0.00673459
26.7,9.99897,-0.0776811,0.00103353
26.8,9.99143,-0.07533,0.00856653
26.9,9.98414,-0.0728988,0.0158564
27,9.9771,-0.0703947,0.0228959
27.1,9.97032,-0.0678249,0.0296784
27.2,9.9638,-0.0651966,0.036198
27.3,9.95755,-0.0625167,0.0424497
27.4,9.95157,-0.0597923,0.0484289
27.5,9.94587,-0.0570299,0.0541319
27.6,9.94044,-0.0542364,0.0595556
27.7,9.9353,-0.0514182,0.0646974
27.8,9.93044,-0.0485817,0.0695555
27.9,9.92587,-0.0457331,0.0741288
28,9.92158,-0.0428785,0.0784167
28.1,9.91758,-0.0400239,0.0824191
28.2,9.91386,-0.0371748,0.0861366
28.3,9.91043,-0.0343368,0.0895702
28.4,9.90728,-0.0315153,0.0927218
28.5,9.90441,-0.0287154,0.0955933
28.6,9.90181,-0.0259421,0.0981875
28.7,9.89949,-0.0232,0.100508
28.8,9.89744,-0.0204939,0.102557
28.9,9.89566,-0.0178279,0.10434
29,9.89414,-0.0152063,0.10586
29.1,9.89288,-0.0126329,0.107124
29.2,9.89187,-0.0101114,0.108135
29.3,9.8911,-0.00764541,0.108899
29.4,9.89058,-0.00523806,0.109423
29.5,9.89029,-0.00289246,0.109712
29.6,9.89023,-0.000611436,0.109774
29.7,9.89039,0.00160238,0.109613
29.8,9.89076,0.00374657,0.109239
29.9,9.89134,0.00581895,0.108657
30,9.89213,0.00781751,0.107875
30.1,9.8931,0.00974049,0.106901
30.2,9.89426,0.0115863,0.105742
30.3,9.89559,0.0133535,0.104407
30.4,9.8971,0.0150411,0.102903
30.5,9.89876,0.0166479,0.101238
30.6,9.90058,0.0181732,0.0994207
30.7,9.90254,0.0196164,0.0974591
